"MLM_count","TOKEN_count","NSP_bool","Loss"
9,60,1,1.8009837865829468
14,90,0,2.76238751411438
19,130,1,1.469494342803955
12,84,1,3.3899779319763184
9,61,1,1.478188395500183
18,123,1,2.026400566101074
19,128,0,3.569075345993042
10,64,1,2.23964524269104
8,55,1,2.9358909130096436
19,125,1,1.9971163272857666
20,132,1,0.603937029838562
16,107,0,1.217056155204773
10,71,1,2.3364899158477783
16,106,1,1.263197898864746
7,47,0,3.6509127616882324
5,33,0,0.2392970770597458
18,119,1,1.9882962703704834
19,129,0,5.741968154907227
8,49,1,0.8491840362548828
17,118,1,1.4183796644210815
9,56,1,3.069298505783081
20,129,1,2.4087893962860107
20,127,0,2.8357999324798584
10,67,1,2.745877265930176
13,82,0,2.107447862625122
19,130,1,1.3018214702606201
19,128,1,1.816103458404541
20,131,1,1.2440752983093262
19,129,1,1.6841078996658325
19,128,1,1.9399670362472534
22,132,1,2.6422595977783203
22,131,1,2.7721800804138184
5,35,1,0.9907576441764832
20,131,0,3.229607582092285
9,62,1,3.4832470417022705
12,81,0,2.133528232574463
20,130,0,3.8720386028289795
6,41,1,3.684492588043213
19,126,1,1.261621356010437
9,62,1,0.5359808206558228
12,86,1,2.950685501098633
19,127,0,2.7189836502075195
17,113,1,0.6896828413009644
19,129,1,0.34478169679641724
10,68,1,1.4016541242599487
14,91,1,2.517765760421753
19,129,0,0.08418837934732437
9,46,1,3.423171281814575
14,107,0,0.5562172532081604
19,128,1,1.734541893005371
19,128,1,1.5100150108337402
17,107,0,2.284043550491333
19,126,1,1.7015371322631836
19,127,1,2.494344711303711
19,127,1,2.231846570968628
9,62,1,1.0309821367263794
19,128,0,2.268204689025879
18,127,0,2.448361396789551
19,127,0,1.629860281944275
20,137,0,1.4297339916229248
20,130,1,2.515627145767212
13,86,0,1.8538295030593872
19,128,0,2.1317293643951416
8,56,1,1.4686905145645142
19,126,1,2.839895248413086
19,122,0,1.7968158721923828
13,82,1,1.1567097902297974
14,98,1,2.8413660526275635
19,128,0,0.7362951636314392
19,130,0,1.2989152669906616
