Tag,Tag Type,Doc Count,Expected-Loss-Per-Word (Wiki),Expected-Loss-Per-Word (Full)
verb.consumption,sst,2769,0.11060342486891306,0.07233449467165139
verb.contact,sst,19939,0.2201406091543575,0.047867374449814114
verb.creation,sst,3103,-0.03179583753948792,0.2329818177755558
verb.emotion,sst,8438,0.060418614075208835,-0.02307048817036592
verb.motion,sst,26460,0.1058622792412456,0.016715762512873485
verb.perception,sst,15731,0.16027089852345858,-0.007971352199226093
verb.possession,sst,9452,-0.07676769864894327,0.013001937102836992
verb.social,sst,14683,-0.0378845338926548,-0.004260432761035336
verb.stative,sst,34218,-0.1563188468919003,-0.08908407041089336
verb.weather,sst,213,0.3106095844859703,0.14845078453739236
Aspect=Perf,mor,20630,0.04334295550984206,0.17179792659384469
Aspect=Prog,mor,26621,0.20523160152052136,0.12221384559573215
Case=Acc,mor,28825,0.017749146642280608,-0.12035302049707877
Case=Nom,mor,60047,-0.10058467331263328,-0.18614152561187028
ConjType=Cmp,mor,35303,-0.1819374385455459,-0.07119204675206854
Definite=Def,mor,45747,-0.2559044267413336,-0.06795156241528069
Definite=Ind,mor,25593,-0.20137906074445378,-0.09041831365185124
Degree=Cmp,mor,5267,0.010317804647273469,0.05228033949868413
Degree=Pos,mor,49110,0.08315763172596136,0.16998856663808146
Degree=Sup,mor,2196,-0.06063999169797525,0.10596506692172165
Foreign=Yes,mor,90,0.19079955843040622,0.5580485898918225
Gender=Fem,mor,21201,0.04454074951267941,-0.12650908298162053
Gender=Masc,mor,29922,-0.029503615634852473,-0.11030934850576789
Gender=Neut,mor,15225,-0.12325188674450098,-0.09940715523828589
Hyph=Yes,mor,3,0.5096849450250858,0.8778475890589776
Mood=Ind,mor,44139,-0.17402765672439097,-0.1732996875179381
NumType=Card,mor,8495,-0.07645192063827266,0.1014503231238656
NumType=Mult,mor,591,0.05109259305033846,0.048632103643187645
NumType=Ord,mor,29,0.2570806427973218,0.6500050050249944
Number=Plur,mor,46247,0.010363122673250453,0.1497347386540366
Number=Sing,mor,96477,0.07076345706990594,0.052553615294728954
Person=1,mor,38642,-9.054580920948959e-05,-0.18375880944177106
Person=2,mor,16779,0.03717135055085557,-0.16760253179387616
Person=3,mor,71762,-0.09804603273925803,-0.11045658730734235
Polarity=Neg,mor,26124,-0.14982211956158525,-0.20228690533274132
Poss=Yes,mor,31957,-0.01971028470975593,-0.09560668644947865
PronType=Art,mor,59250,-0.2477008030760533,-0.07702002746659704
PronType=Dem,mor,17290,0.01596613165528139,-0.02576246414964037
PronType=Ind,mor,5399,0.11950234177662607,0.0029814468554448257
PronType=Prs,mor,79084,-0.06119556717004006,-0.15340296665617079
PronType=Rel,mor,3033,-0.15968894311753382,-0.0041701390970566785
PunctSide=Fin,mor,26031,0.01635318030222374,-0.20950946694549502
PunctSide=Ini,mor,23278,0.05475110561425861,-0.21550127061073254
PunctType=Brck,mor,495,-0.41776148156195714,0.25776305330742405
PunctType=Comm,mor,48605,-0.15553641353460496,-0.10115616762704606
PunctType=Dash,mor,3576,-0.11297684297929564,0.10679954012927466
PunctType=Peri,mor,64481,-0.11005108397949137,-0.18542938826126668
PunctType=Quot,mor,39478,0.05275132833499484,-0.19272803894493426
Reflex=Yes,mor,2328,0.14990948253983755,0.06718336509059152
Tense=Past,mor,69956,0.03384821535538266,0.00030770208904262834
Tense=Pres,mor,55152,0.030774007202251794,-0.0353239350101284
VerbForm=Fin,mor,83245,-0.019715333253006055,-0.08325989112491167
VerbForm=Ger,mor,870,-0.10965073193299184,0.11102099262245782
VerbForm=Inf,mor,44803,-0.013241680087780459,-0.03210137278899522
VerbForm=Part,mor,43279,0.12037709657527428,0.13577925104235303
VerbType=Mod,mor,4322,-0.13826497393184628,-0.250569951874378
