"MLM_count","TOKEN_count","NSP_bool","Loss"
19,128,1,12.895458221435547
19,128,0,1.9889506101608276
19,128,0,1.8361412286758423
10,67,1,1.8015053272247314
19,128,1,8.334794044494629
7,47,0,5.189998149871826
11,76,1,4.240423202514648
19,128,1,6.60698127746582
19,128,1,16.94102668762207
12,80,0,1.7172820568084717
7,49,1,5.176416873931885
19,128,1,4.119518280029297
11,71,0,2.1792538166046143
19,128,1,12.510815620422363
19,128,1,4.145445823669434
19,128,1,4.749703407287598
19,128,1,9.386289596557617
19,128,1,14.317787170410156
19,128,0,2.037433385848999
18,128,0,3.2979626655578613
19,128,0,2.491461753845215
19,128,1,2.4808905124664307
19,128,0,1.7441924810409546
19,128,1,2.463015079498291
19,128,0,2.3462908267974854
7,46,0,2.830604314804077
19,128,1,5.19637393951416
19,128,1,5.444179534912109
19,128,0,1.8647010326385498
19,128,1,2.573397636413574
9,58,1,1.3743728399276733
19,128,0,1.7490166425704956
19,128,0,3.224231481552124
19,128,1,4.9153594970703125
19,128,1,10.381863594055176
19,128,0,1.361939549446106
6,45,0,3.6173136234283447
10,66,1,1.970729112625122
4,28,0,1.5920782089233398
13,86,0,3.756211996078491
19,128,1,1.7970542907714844
19,128,1,3.6341614723205566
19,128,1,3.640164852142334
19,128,1,7.317935943603516
19,128,1,2.8159098625183105
19,128,1,3.9913196563720703
11,73,1,2.7381112575531006
19,128,1,4.171638011932373
19,128,1,3.777097702026367
19,128,0,2.2147092819213867
13,85,1,4.1372575759887695
7,47,0,1.9467517137527466
19,128,0,4.006397247314453
19,128,1,7.037328720092773
19,128,1,4.018819808959961
19,128,1,10.498215675354004
19,128,0,2.86669921875
19,128,0,3.4658169746398926
19,128,1,3.7624573707580566
18,128,0,3.129476547241211
19,128,1,4.13655424118042
10,64,1,3.5235402584075928
19,128,0,3.0708184242248535
19,128,0,2.1681926250457764
19,128,0,1.000886082649231
9,61,1,6.4509382247924805
19,128,0,5.457023620605469
19,128,0,3.3123831748962402
19,128,0,1.4921473264694214
16,109,0,2.1917433738708496
5,35,0,5.550004959106445
19,128,1,8.050310134887695
19,128,0,3.3655965328216553
19,128,0,5.9591593742370605
19,128,1,2.770397901535034
19,128,0,2.834049701690674
3,20,0,0.32319265604019165
19,128,0,2.0566184520721436
6,43,1,8.739818572998047
19,128,0,4.813035488128662
19,128,0,5.582333087921143
19,128,0,2.300619125366211
19,128,0,3.3444252014160156
19,128,0,3.4023499488830566
19,128,1,6.624477386474609
19,128,0,2.8594446182250977
17,114,0,2.6256420612335205
19,128,0,4.5594563484191895
19,128,1,9.125818252563477
19,128,0,3.0318243503570557
19,128,1,5.621500492095947
19,128,0,3.1215717792510986
19,128,1,8.683697700500488
13,86,1,5.208178520202637
19,128,1,5.152050018310547
16,104,1,5.150927543640137
19,128,1,5.3935546875
19,128,1,12.681312561035156
19,128,0,2.462139129638672
19,128,1,3.0431227684020996
19,128,0,4.776329517364502
19,128,1,2.826946258544922
19,128,1,4.165205955505371
19,128,1,9.531377792358398
19,128,0,4.4707818031311035
19,128,1,8.916082382202148
19,128,0,2.099379301071167
19,128,0,4.193694591522217
19,128,1,7.826060771942139
19,128,0,2.3293862342834473
19,128,1,11.0585355758667
19,128,0,2.2970142364501953
19,128,0,3.794552803039551
19,128,1,2.0058789253234863
19,128,0,3.7592170238494873
4,27,0,8.016931533813477
19,128,0,2.195561170578003
19,128,1,3.2624711990356445
19,128,1,3.293104410171509
12,83,0,3.2798304557800293
19,128,1,3.536830425262451
19,128,1,6.322002410888672
14,96,0,2.4521210193634033
19,128,0,3.489760637283325
5,32,0,3.4497785568237305
19,128,0,4.440093994140625
18,128,0,2.1481375694274902
19,128,1,7.791254043579102
19,128,1,3.419217586517334
19,128,0,3.605567216873169
7,45,0,1.9196624755859375
19,128,1,11.313924789428711
19,128,0,3.0549373626708984
19,128,0,2.0089266300201416
19,128,1,8.15428638458252
19,128,1,6.552916526794434
19,128,0,4.210272789001465
15,97,1,7.2442779541015625
19,128,1,5.927003383636475
19,128,0,2.184735059738159
19,128,1,7.96774435043335
19,128,0,2.0625295639038086
19,128,0,2.7275593280792236
3,22,1,8.55173110961914
6,43,0,5.514740943908691
16,108,1,5.339629173278809
19,128,0,4.615880966186523
19,128,1,10.5521879196167
19,128,1,4.024339199066162
5,35,0,0.6972354054450989
17,112,0,2.6980605125427246
6,39,1,5.44542932510376
19,128,1,6.545427322387695
19,128,0,3.81648325920105
19,128,0,3.0666685104370117
19,128,0,2.2181577682495117
19,128,0,1.9711077213287354
19,128,1,5.1578850746154785
19,128,1,2.5000991821289062
19,128,1,8.401020050048828
